iter	Passed	Remaining
167	3878	23822
168	3894	23756
169	3909	23688
170	3925	23622
171	3941	23556
172	3957	23490
173	3973	23428
174	3989	23365
175	4004	23301
176	4021	23241
177	4037	23183
178	4059	23153
179	4084	23146
180	4105	23111
181	4120	23050
182	4136	22990
183	4153	22933
184	4171	22885
185	4187	22827
186	4203	22769
187	4219	22713
188	4235	22655
189	4250	22596
190	4266	22540
191	4282	22484
192	4298	22428
193	4314	22373
194	4330	22317
195	4346	22265
196	4362	22210
197	4378	22155
198	4393	22101
199	4409	22049
200	4425	21996
201	4441	21943
202	4459	21903
203	4476	21854
204	4492	21804
205	4508	21754
206	4530	21734
207	4564	21770
208	4581	21725
209	4597	21675
210	4613	21626
211	4630	21577
212	4646	21529
213	4662	21480
214	4678	21433
215	4694	21385
216	4710	21337
217	4725	21287
218	4741	21240
219	4757	21193
220	4773	21147
221	4793	21116
222	4813	21088
223	4829	21041
224	4845	20995
225	4860	20946
226	4876	20900
227	4891	20853
228	4907	20807
229	4923	20762
230	4939	20718
231	4954	20674
232	4970	20629
233	4986	20585
234	5002	20541
235	5019	20504
236	5035	20460
237	5051	20416
238	5066	20372
239	5083	20332
240	5105	20316
241	5133	20323
242	5149	20281
243	5167	20245
244	5183	20203
245	5198	20161
246	5214	20119
247	5236	20099
248	5258	20084
249	5275	20046
250	5290	20004
251	5306	19962
252	5322	19921
253	5338	19882
254	5354	19842
255	5370	19802
256	5386	19763
257	5402	19724
258	5417	19684
259	5433	19644
260	5449	19605
261	5467	19575
262	5483	19536
263	5499	19496
264	5514	19458
265	5530	19419
266	5546	19382
267	5564	19351
268	5580	19314
269	5596	19277
270	5612	19239
271	5628	19201
272	5644	19167
273	5661	19135
274	5677	19098
275	5693	19062
276	5709	19025
277	5725	18988
278	5741	18952
279	5757	18916
280	5773	18881
281	5789	18845
282	5804	18809
283	5821	18775
284	5836	18739
285	5852	18704
286	5868	18669
287	5884	18634
288	5900	18598
289	5915	18563
290	5931	18527
291	5947	18493
292	5963	18459
293	5979	18425
294	5995	18391
295	6010	18357
296	6026	18322
297	6042	18289
298	6058	18255
299	6074	18222
300	6090	18191
301	6106	18158
302	6122	18124
303	6144	18109
304	6175	18120
305	6191	18087
306	6207	18055
307	6223	18023
308	6239	17991
309	6255	17959
310	6271	17927
311	6287	17895
312	6303	17863
313	6319	17831
314	6335	17798
315	6351	17767
316	6366	17734
317	6383	17703
318	6398	17671
319	6415	17641
320	6430	17609
321	6446	17577
322	6464	17551
323	6480	17520
324	6495	17488
325	6511	17457
326	6527	17426
327	6543	17395
328	6559	17365
329	6575	17335
330	6591	17305
331	6607	17275
332	6623	17243
333	6639	17214
334	6656	17187
335	6672	17158
336	6688	17128
337	6704	17099
338	6721	17070
339	6737	17042
340	6753	17012
341	6769	16982
342	6785	16953
343	6801	16924
344	6817	16894
345	6832	16865
346	6848	16836
347	6865	16807
348	6880	16778
349	6896	16749
350	6912	16720
351	6929	16692
352	6944	16663
353	6960	16634
354	6976	16606
355	6992	16576
356	7008	16548
357	7024	16521
358	7040	16492
359	7056	16464
360	7076	16445
361	7096	16427
362	7112	16399
363	7128	16371
364	7144	16344
365	7161	16319
366	7182	16302
367	7202	16283
368	7232	16287
369	7248	16261
370	7265	16234
371	7281	16207
372	7297	16179
373	7313	16151
374	7329	16125
375	7345	16097
376	7361	16070
377	7377	16042
378	7393	16016
379	7409	15989
380	7425	15962
381	7441	15935
382	7460	15913
383	7476	15886
384	7492	15860
385	7508	15833
386	7525	15809
387	7543	15787
388	7560	15762
389	7576	15735
390	7592	15708
391	7607	15681
392	7623	15654
393	7640	15630
394	7656	15604
395	7672	15578
396	7689	15552
397	7704	15526
398	7720	15499
399	7736	15473
400	7752	15446
401	7768	15421
